FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-25 00:47,JCLS01,Critical,Heartbeat Failure
2017-12-25 03:54,JSC043,Critical,ExternalAlarm
2017-12-25 02:57,BVT236,Critical,Heartbeat Failure
2017-12-25 04:10,BVT236,Critical,Heartbeat Failure
2017-12-25 04:14,TCI009,Critical,Heartbeat Failure
2017-12-25 05:11,TCI009,Critical,Heartbeat Failure
2017-12-25 07:18,DOM033,Critical,Heartbeat Failure
2017-12-25 07:43,JWM038,Critical,Heartbeat Failure
2017-12-25 07:56,BVT235,Critical,Heartbeat Failure
2017-12-25 07:58,BVT236,Critical,Heartbeat Failure
2017-12-25 10:15,JKAS07,Critical,Heartbeat Failure
2017-12-25 10:16,BVT235,Critical,Heartbeat Failure
2017-12-25 10:31,JWM030,Critical,Heartbeat Failure
2017-12-25 10:31,JWM038,Critical,Heartbeat Failure
2017-12-25 10:41,BVT235,Critical,Heartbeat Failure
2017-12-25 10:58,BVT235,Critical,Heartbeat Failure
2017-12-25 11:01,BVT209,Critical,Heartbeat Failure
2017-12-25 11:11,BVT235,Critical,Heartbeat Failure
2017-12-25 11:21,JMN022,Critical,Heartbeat Failure
2017-12-25 11:21,JMN056,Critical,Heartbeat Failure
2017-12-25 11:22,JKAS07,Critical,Heartbeat Failure
2017-12-25 11:22,JMN028,Critical,Heartbeat Failure
2017-12-25 11:27,JKAS07,Critical,Heartbeat Failure
2017-12-25 11:30,JCLS01,Critical,Heartbeat Failure
2017-12-25 11:55,JKAS07,Critical,Heartbeat Failure
2017-12-25 12:13,BVT222,Critical,Heartbeat Failure
2017-12-25 12:13,BVT213,Critical,Heartbeat Failure
2017-12-25 12:13,BVT208,Critical,Heartbeat Failure
2017-12-25 12:13,BVT242,Critical,Heartbeat Failure
2017-12-25 13:10,JKAS07,Critical,Heartbeat Failure
2017-12-25 13:14,JKAS07,Critical,Heartbeat Failure
2017-12-25 13:40,JKAM04,Critical,Heartbeat Failure
2017-12-25 13:40,JKA112,Critical,Heartbeat Failure
2017-12-25 13:40,BVT235,Critical,Heartbeat Failure
2017-12-25 13:40,JKA043,Critical,Heartbeat Failure
2017-12-25 13:40,JKA036,Critical,Heartbeat Failure
2017-12-25 13:42,JKAM03,Critical,Heartbeat Failure
2017-12-25 13:45,BVT235,Critical,Heartbeat Failure
2017-12-25 14:05,JSC068,Critical,Heartbeat Failure
2017-12-25 17:08,BVT204,Critical,Heartbeat Failure
2017-12-25 17:08,BVT232,Critical,Heartbeat Failure
2017-12-25 19:58,BVT209,Critical,Heartbeat Failure
2017-12-25 20:15,BVT209,Critical,Heartbeat Failure
2017-12-25 20:24,BVT209,Critical,Heartbeat Failure
2017-12-25 20:40,BVT209,Critical,Heartbeat Failure
2017-12-25 20:49,BVT209,Critical,Heartbeat Failure
2017-12-25 21:27,JKAM03,Critical,Heartbeat Failure
2017-12-25 22:45,JWM008,Critical,Heartbeat Failure
2017-12-25 22:46,JWM007,Critical,Heartbeat Failure
2017-12-26 00:22,BVT209,Critical,Heartbeat Failure
2017-12-26 00:50,BVT209,Critical,Heartbeat Failure
2017-12-26 01:02,JKAM03,Critical,Heartbeat Failure
2017-12-26 01:48,JWM047,Critical,Heartbeat Failure
2017-12-26 02:00,BVT209,Critical,Heartbeat Failure
2017-12-26 02:56,JKAM03,Critical,Heartbeat Failure
2017-12-26 03:47,TCI004,Critical,Heartbeat Failure
2017-12-26 03:57,BVT225,Critical,Heartbeat Failure
2017-12-26 04:01,BVT209,Critical,Heartbeat Failure
2017-12-26 04:05,DOM020,Critical,Heartbeat Failure
2017-12-26 05:13,BVV241,Critical,Heartbeat Failure
2017-12-26 05:53,TCI006,Critical,Heartbeat Failure
2017-12-26 06:29,JMN028,Critical,Heartbeat Failure
2017-12-26 06:29,JMN022,Critical,Heartbeat Failure
2017-12-26 06:37,JMN014,Critical,Heartbeat Failure
2017-12-26 07:12,BVT209,Critical,Heartbeat Failure
2017-12-26 07:25,BVT236,Critical,Heartbeat Failure
2017-12-26 07:29,BVT209,Critical,Heartbeat Failure
2017-12-26 07:45,JSA057,Critical,Heartbeat Failure
2017-12-26 08:23,BVT209,Critical,Heartbeat Failure
2017-12-26 08:34,TCI009,Critical,Heartbeat Failure
2017-12-26 08:38,BVT236,Critical,Heartbeat Failure
2017-12-26 08:54,ANU639,Critical,Heartbeat Failure
2017-12-26 09:49,BVT209,Critical,Heartbeat Failure
2017-12-26 10:47,BVT236,Critical,Heartbeat Failure
2017-12-26 11:25,BVT235,Critical,Heartbeat Failure
2017-12-26 11:32,BVT235,Critical,Heartbeat Failure
2017-12-26 11:41,BVT235,Critical,Heartbeat Failure
2017-12-26 11:42,DOM022,Critical,Heartbeat Failure
2017-12-26 11:55,BVT235,Critical,Heartbeat Failure
2017-12-26 12:25,BVT226,Critical,Heartbeat Failure
2017-12-26 12:26,JWM021,Critical,Heartbeat Failure
2017-12-26 12:28,JWM022,Critical,Heartbeat Failure
2017-12-26 12:28,JWM023,Critical,Heartbeat Failure
